0-15(%),% Couple household with dependent children,Household spaces with at least one usual resident (%),Unemployment Rate,% Highest level of qualification: Level 4 qualifications and above
16.46430306,13.57308585,98.28962372,7.393577296,57.2
15.05204163,16.35610766,97.18309859,6.090133983,57.9
19.59385291,16.40513552,98.04195804,8.988764045,46.6
19.04441454,13.00527241,97.09897611,11.08247423,40.5
20.70155262,18.11145511,98.02731411,9.680741504,44.5
26.01043025,15.8,99.00990099,14.58333333,31.5
21.43174744,12.21294363,98.7628866,11.42625608,39.2
30.6763285,18.19620253,99.37106918,15.55252387,27.9
24.46126966,15.59633028,98.34586466,13.50407451,29
22.66411116,13.91402715,97.03622393,11.85807656,37.8
16.85144124,9.066666667,97.65625,11.54210028,44.4
13.94041596,7.594936709,97.31243001,10.10794897,40.5
20.47826087,10.74540174,96.09302326,11.90295679,43.2
15.32125206,9.305064782,98.15028902,11.29744042,47
15.336374,9.673202614,97.57653061,11.56336725,40.3
12.23796034,9.024390244,97.04142012,8.121827411,53.3
20.23026316,10.65420561,98.70848708,13.55060034,27
21.16917626,14.13276231,97.29166667,13.23024055,30
21.28174123,12.21374046,98.05389222,10.34047919,38.2
21.91201354,11.56601842,98.09236948,11.04294479,41.1
25.18555171,15.06373117,98.62857143,15.625,30.7
26.44456012,13.73283396,97.92176039,16.92307692,23.6
26.18075802,13.36206897,99.28673324,18.21515892,26.9
20.34313725,14.06959153,96.77891654,8.468677494,42.5
28.12142039,13.90070922,99.43582511,22.57181943,22.9
30.99447514,14.64497041,98.25581395,18.18181818,21.7
12.70598439,6.972477064,96.88888889,8.424437299,54.1
15.6668608,13.3243607,98.15059445,6.026200873,62
16.93057247,10.91644205,98.67021277,12.57668712,47.5
19.75384615,17.5,99.07120743,9.476031215,47.4
15.28218136,14.32748538,98.41726619,7.908992416,49.5
16.7110165,11.32315522,97.39776952,6.226415094,42.9
14.8531012,12.02046036,98.36477987,6.043956044,47.5
11.31221719,12.5739645,98.54227405,3.606853021,69.9
10.30162413,7.902735562,98.99699097,6.42384106,60.2
17.6330421,7.830342577,98.08,9.698996656,34.2
9.942481512,7.863247863,95.58823529,10.05649718,52.5
11.17496807,7.890961263,95.08867667,8.529945554,58.4
11.0514198,7.166123779,97.15189873,7.226107226,47.8
21.43622722,13.65227538,98.61910242,9.442870633,42
22.97136038,11.88811189,99.30555556,11.328125,32.5
18.14316088,15.81469649,97.8125,9.668874172,41.5
18.14556331,13.05418719,96.55172414,7.437275986,45.9
21.80064309,11.02941176,98.69375907,14.20689655,26.6
16.06182796,14.88721805,98.66468843,5.38071066,58.9
14.38263229,9.564293305,98.53403141,8.350730689,51.3
23.78854626,12.99524564,99.05808477,11.32764921,37.7
21.22186495,16.53386454,96.72447013,10.47765794,43.7
15.02145923,10.09174312,97.94608472,4.635761589,64.4
18.69455006,11.04387292,98.50968703,9.687184662,53.9
21.60611855,11.32897603,99.56616052,15.26418787,28.8
19.52267303,12.34285714,99.09399773,8.455284553,47.9
21.00225225,11.19894598,98.44357977,13.00904977,31.4
20.46223224,14.59537572,98.01699717,13.74133949,35.4
18.79699248,11.18530885,98.35796388,12.55060729,33.2
20,9.161490683,99.22958398,12.82401091,31.2
13.87082792,8.679245283,98.60465116,6.451612903,57.3
24.73910374,15.86608443,99.4211288,17.16129032,30.9
17.19209752,9.779735683,98.26839827,9.399293286,44.2
22.0917226,13.67403315,97.97023004,11.52542373,32.2
18.07992203,10.93023256,98.96432681,10.54054054,40.9
15.63585823,10.88328076,99.37304075,13.25136612,31.4
19.49117768,10.79393399,98.76651982,8.915304606,44.2
18.11637672,9.575923393,99.18588874,17.3006135,29.8
14.26086957,10.16144349,97.40980574,7.552258935,51.4
19.71534001,9.385863268,99.1954023,16.52267819,30.6
18.10856658,9.108341323,98.30348728,8.211143695,43.8
15.94520548,8.515283843,98.92008639,11.6781158,41
14.51825781,10.16311167,99.00621118,9.671848014,32.4
7.992202729,4.581151832,96.58659924,5.697278912,65
4.315196998,4.408352668,95.45957918,3.574203574,67.5
14.13173653,6.463878327,98.01242236,5.47309833,49.4
6.425339367,3.79241517,98.42829077,4.683195592,58
25.54621849,12.96829971,96.25520111,15.48064919,28.1
27.66164317,13.71841155,97.53521127,15.85233442,29.5
29.17015926,17.91666667,94.67455621,11.54499151,38.1
27.31122089,14.40972222,98.46153846,12.23328592,34.3
25.1078516,14.47368421,97.79411765,10.64814815,43.5
24.70414201,14.30232558,98.73708381,11.12204724,33.9
38.56079404,39.71291866,97.51166407,12.15083799,16.8
27.89915966,16.28895184,97.64868603,14.97975709,21.5
32.20250522,18.57541899,96.36608345,14.36619718,18.4
13.23600973,8.385093168,98.6721144,7.627118644,38.3
23.57065804,14.41441441,97.65395894,11.84371184,24.1
21.19175627,15.94724221,96.52777778,9.768378651,38.1
18.81040892,10.44776119,90.67669173,9.583858764,33.2
25.63647128,16.36363636,98.37398374,12.05583756,21.6
24.23907028,13.94658754,98.97209985,13.55311355,24.6
24.5049505,16.03305785,98.6949429,12.96791444,20.1
27.6481149,14.00651466,99.51377634,13.36828309,20.3
29.41176471,17.77777778,99.26470588,14.43932412,22.8
19.3442623,14.94607088,97.01046338,6.905055487,42
19.58568738,14.92537313,96.94533762,8.641975309,39.2
22.33796296,18.19727891,97.83693844,11.58301158,27.4
15.1193634,12.66666667,96.27727856,4.457050243,52.9
12.28249744,9.171270718,93.58841779,7.717041801,47.3
20.36708111,7.710011507,98.97494305,16.68653159,30.5
16.66666667,12.73209549,95.08196721,5.514705882,48.3
16.28903858,11.82336182,97.2299169,7.129094412,49.1
16.40271493,11.20481928,95.40229885,8.552631579,41.5
15.55277951,9.864864865,96.1038961,8.583690987,43.7
9.719737627,7.949790795,96.24161074,6.082725061,56.5
13.21562333,9.710982659,96.21802002,7.516339869,48.3
13.72002231,10.24590164,98.38709677,6.256109482,40.9
17.1848502,10.31446541,97.54601227,11.34615385,39.2
17.82376502,13.14984709,94.92017417,7.940161105,42
17.89679948,14.75409836,97.67103348,6.076210093,50.7
15.39923954,11.82654402,97.19029374,6.893004115,46.4
8.426339286,6.79916318,96.46821393,4.40060698,65
16.63405088,13.52517986,98.44192635,4.664723032,64.3
11.89376443,8.680947012,97.57975798,6.746370623,55.8
15.16587678,8.731241473,96.82959049,9.888751545,38.7
21.36953955,15.35087719,94.52736318,7.661558961,49.2
16.1117717,19.66205837,96.30177515,7.221206581,50.4
20.81117021,25.13464991,96.03448276,5.230386052,58.9
14.72491909,11.99524941,94.18344519,5.981112277,49
17.44040151,16.61721068,97.11815562,5.846153846,51.1
12.53229974,10.01494768,96.39769452,4.694323144,44.5
22.03969884,21.97092084,91.02941176,4.683840749,59.5
18.33333333,18.9279732,97.86885246,3.120936281,64
20.03676471,19.97126437,98.30508475,3.048180924,63.2
11.38938581,8.948545861,96.23250807,4.786324786,61.6
19.28358209,15.06849315,98.25033647,7.676130389,50.1
19.34032984,19.51219512,93.03079417,2.85326087,63.5
16.55172414,11.90130624,97.59206799,7.061503417,50.2
21.05568445,21.05263158,98.36512262,6.962025316,51.6
20.36048064,13.39915374,95.81081081,7.364787112,55.9
13.38679827,10.96433289,97.05128205,7.059961315,54.8
15.03021148,12.91338583,95.2023988,7.077326343,55.3
11.52628246,12.92613636,92.998679,6.444906445,56.2
8.737151248,8.496732026,95.0310559,6.240928882,54.1
18.19537658,9.286898839,90.54054054,9.206798867,30.3
8.385093168,6.243805748,95.45884579,5.190839695,60.5
8.91521197,8.452535761,88.28932262,6.010362694,57
9.975216853,8.432147563,93.7037037,8.075117371,58.6
19.37299035,9.920634921,95.45454545,9.880239521,34
13.63636364,8.471760797,94.20970266,9.151193634,43.7
13.19924576,11.82065217,93.87755102,6.628242075,54.8
15.36231884,7.235890014,98.29302987,10.91445428,31.3
14.90196078,11.47994467,97.83491204,7.222787386,40.8
11.36690647,12.98482293,97.53289474,4.250559284,59.2
7.738095238,5.357142857,97.56097561,4.770642202,60.5
6.666666667,6.718346253,97.35849057,2.775510204,74.6
7.930029155,6.087936866,91.25514403,5.203252033,57.1
23.42683851,14.49814126,87.4796748,16.63837012,22.5
7.946210269,5.942857143,96.15384615,5.887372014,58.1
13.55653128,11.20584653,98.08841099,6.465899026,49.5
21.919364,11.45139814,98.94598155,10.32547699,35.7
21.1514393,11.33333333,98.19967267,12.15846995,28.6
16.85750636,11.78343949,99.21011058,8.732057416,40.3
12.5082291,11.55015198,99.39577039,5.529953917,43.5
10.5785124,8.947368421,97.43589744,3.65448505,57.4
17.20351391,9.58677686,98.85620915,8.441558442,41.6
12.8256513,8.58652576,95.10050251,5.894736842,48
12.75541796,12.92217327,96.05077574,3.675777568,58.6
11.46424518,12.10826211,93.6,4.23797881,60.9
9.966329966,6.675749319,95.20103761,5.245153934,45.8
12.69669018,7.948442535,94.23076923,5.360443623,45.4
13.13506815,16.14906832,98.32061069,4.766949153,54.1
8.522167488,9.385863268,93.60086768,3.168754606,59.2
14.02188782,12.28070175,96.20253165,3.333333333,49.5
18.56484529,20.90032154,97.64521193,4.8098434,54.9
23.19018405,25.35211268,93.97058824,4.374240583,54.8
13.15254237,9.794628752,96.34703196,7.568807339,43.9
18.95384615,19.28057554,92.17506631,5.072463768,58.3
10.18246027,8.5995086,95.87750294,4.557640751,54.1
16.6767738,12.7753304,97.84482759,7.243243243,42
11.30204891,7.367149758,94.84536082,7.411907655,40
16.14583333,16.59125189,92.33983287,6.774193548,55.8
19.31464174,19.82116244,95.17730496,5.263157895,57.5
15.280595,14.5482389,95.46783626,3.930635838,56
21.80451128,24.00662252,90.69069069,3.036876356,65.4
23.82596685,14.55160745,98.00995025,13.08677098,29.6
17.79324056,14.09978308,95.1496388,4.441041348,62.5
17.00064641,18.38905775,93.20113314,4,64.2
20.36340852,22.64150943,93.94387001,3.714859438,67.2
14.60534493,13.4751773,95.78804348,5.033881897,60.7
13.98243045,9.016393443,92.56449165,6.75990676,49.9
14.68178954,16.29955947,95.91549296,4.463437797,60.1
15.2173913,16.8,96.64948454,2.634054563,60.3
11.04933982,12.19512195,97.47399703,4.1015625,64.1
19.26323868,19.53818828,94.78114478,4.475703325,61.4
14.03593978,12.94498382,94.78527607,6.187929717,53.4
15.89831969,9.847715736,92.66227658,6.388642413,36.2
18.62567812,10.88709677,91.51291513,8.059701493,48.4
17.81059948,11.4334471,92.57503949,5.23415978,59.1
22.00357782,12.20825853,88.41269841,4.578754579,51.5
22.06477733,22.36842105,95.44740973,4.025974026,61.7
12.94964029,12.04644412,90.06535948,3.360215054,60.7
17.6510989,19.08646003,94.74497682,3.947368421,63.4
9.118915588,7.787391842,93.96051103,4.594820384,63.9
24.01719902,25.96153846,94.54545455,3.876852908,58.1
18.98890259,11.87410587,98.45070423,9.058823529,39
16.34668129,18.02631579,97.18670077,5.226480836,58.4
