0-15(%),65+(%),% Couple household with dependent children,White (%),Private rented (%),Household spaces with at least one usual resident (%),Unemployment Rate,% Highest level of qualification: Level 4 qualifications and above,Median Annual Household Income estimate (?),fire,Population density
30.99447514,6.35359116,14.64497041,30.11049724,13.6,98.25581395,18.18181818,21.7,22124.29747,12,254.5710267
12.70598439,5.160450997,6.972477064,60.06071119,39.5,96.88888889,8.424437299,54.1,35121.97903,7,130.3561334
15.6668608,6.173558532,13.3243607,70.52999418,27.6,98.15059445,6.026200873,62,45818.16545,8,161.2206573
16.93057247,8.647990256,10.91644205,56.272838,24.4,98.67021277,12.57668712,47.5,34915.86782,11,151.1970534
19.75384615,8.923076923,17.5,62.46153846,17.8,99.07120743,9.476031215,47.4,38294.6851,9,119.2223037
15.28218136,11.35066582,14.32748538,68.04058339,18,98.41726619,7.908992416,49.5,44092.41008,8,115.9558824
16.7110165,10.53751996,11.32315522,57.37094199,20,97.39776952,6.226415094,42.9,32908.43125,6,138.9792899
14.8531012,8.269858542,12.02046036,59.73884657,27.7,98.36477987,6.043956044,47.5,36263.5697,13,126.1496225
11.31221719,9.372979961,12.5739645,83.645766,34.8,98.54227405,3.606853021,69.9,65422.81448,1,100.6506181
10.30162413,7.47099768,7.902735562,74.80278422,44.6,98.99699097,6.42384106,60.2,45231.25241,9,132.8606658
17.6330421,15.25019857,7.830342577,45.51231136,21.2,98.08,9.698996656,34.2,25629.54005,5,208.7893864
